,,JAZZ EVENTS MANAGEMENT
,,CLIENT REGISTRY REPORT
,,Generated: May 15 2026
,
,,CLIENT SUMMARY
METRIC,VALUE
Total Registered Clients,81
Verified Clients,1
Unverified Clients,80
,
,,CLIENT LIST
USER ID,CLIENT NAME,EMAIL,VERIFIED,DATE REGISTERED
54,"Pascual, Trina Joy M.",trina.pascual34@gmail.com,No,2026-05-10
55,"Antonio, Joshua Lance D.",joshua.antonio35@gmail.com,No,2026-05-10
56,"Molina, Beatrice Anne S.",beatrice.molina36@gmail.com,No,2026-05-10
57,"Chua, Daniel Joseph F.",daniel.chua37@gmail.com,No,2026-05-10
58,"Velasco, Camille Rose N.",camille.velasco38@gmail.com,No,2026-05-10
59,"Del Rosario, Miguel Andre V.",miguel.delrosario33@gmail.com,No,2026-05-10
60,"Yap, Christian Paul G.",christian.yap41@gmail.com,No,2026-05-10
61,"Sy, Monica Claire B.",monica.sy42@gmail.com,No,2026-05-10
62,"Uy, Hannah Louise P.",hannah.uy44@gmail.com,No,2026-05-10
63,"De Leon, Patricia Mae L.",patricia.deleon40@gmail.com,No,2026-05-10
64,"David, Kevin Matthew R.",kevin.david39@gmail.com,No,2026-05-10
65,"Yu, Bianca Marie J.",bianca.yu48@gmail.com,No,2026-05-10
66,"Co, Mark Anthony W.",mark.co49@gmail.com,No,2026-05-10
67,"Kho, Francis Xavier D.",francis.kho47@gmail.com,No,2026-05-10
68,"Go, Nathan Miguel C.",nathan.go43@gmail.com,No,2026-05-10
69,"Tan, Cedric James M.",cedric.tan45@gmail.com,No,2026-05-10
70,"Lao, Princess Elaine T.",princess.lao46@gmail.com,No,2026-05-10
71,"Sarmiento, Nicole Mae A.",nicole.sarmiento52@gmail.com,No,2026-05-10
72,"Roxas, Jerome Albert V.",jerome.roxas51@gmail.com,No,2026-05-10
73,"Villareal, Samantha Joy H.",samantha.villareal54@gmail.com,No,2026-05-10
74,"Luna, Ethan Gabriel R.",ethan.luna55@gmail.com,No,2026-05-10
75,"Manalo, Joshua Ryan E.",joshua.manalo53@gmail.com,No,2026-05-10
76,"Ang, Erika Mae K.",erika.ang50@gmail.com,No,2026-05-10
77,"Galang, Angela Denise O.",angela.galang56@gmail.com,No,2026-05-10
78,"Tolentino, Patrick Laurence T.",patrick.tolentino57@gmail.com,No,2026-05-10
79,"Bonifacio, Karen Mae F.",karen.bonifacio58@gmail.com,No,2026-05-10
80,"Magsaysay, Vincent Paul L.",vincent.magsaysay59@gmail.com,No,2026-05-10
81,"Jacinto, Christine Joy Q.",christine.jacinto60@gmail.com,No,2026-05-10
82,"Abad, Daniel Cruz S.",daniel.abad61@gmail.com,No,2026-05-10
83,"Barrera, Camille Anne D.",camille.barrera62@gmail.com,No,2026-05-10
84,"Calderon, Joshua Miguel N.",joshua.calderon63@gmail.com,No,2026-05-10
85,"Dizon, Alyssa Kate V.",alyssa.dizon64@gmail.com,No,2026-05-10
86,"Espino, Francis Kyle T.",francis.espino65@gmail.com,No,2026-05-10
87,"Herrera, Bianca Louise M.",bianca.herrera68@gmail.com,No,2026-05-10
88,"Gonzales, Michael Andre P.",michael.gonzales67@gmail.com,No,2026-05-10
89,"Ilagan, John Vincent C.",john.ilagan69@gmail.com,No,2026-05-10
90,"Jimenez, Patricia Anne W.",patricia.jimenez70@gmail.com,No,2026-05-10
91,"Macapagal, Hannah Rose T.",hannah.macapagal72@gmail.com,No,2026-05-10
92,"Natividad, Cedric Paul G.",cedric.natividad73@gmail.com,No,2026-05-10
93,"Palma, Joshua Carl L.",joshua.palma75@gmail.com,No,2026-05-10
94,"Ocampo, Samantha Nicole R.",samantha.ocampo74@gmail.com,No,2026-05-10
95,"Lacson, Nathaniel James B.",nathaniel.lacson71@gmail.com,No,2026-05-10
96,"Ferrer, Trisha Nicole A.",trisha.ferrer66@gmail.com,No,2026-05-10
97,"Roldan, Kevin Joseph D.",kevin.roldan77@gmail.com,No,2026-05-10
98,"Wenceslao, Patricia Joy M.",patricia.wenceslao82@gmail.com,No,2026-05-10
99,"Samson, Camille Grace E.",camille.samson78@gmail.com,No,2026-05-10
100,"Tiongson, Miguel Louis F.",miguel.tiongson79@gmail.com,No,2026-05-10
101,"Quinto, Monica Joy S.",monica.quinto76@gmail.com,No,2026-05-10
102,"Zamora, John Michael N.",john.zamora83@gmail.com,No,2026-05-10
103,"Aguirre, Bianca Kate O.",bianca.aguirre84@gmail.com,No,2026-05-10
104,"Beltran, Francis Matthew P.",francis.beltran85@gmail.com,No,2026-05-10
105,"Dumlao, Kevin Andre R.",kevin.dumlao87@gmail.com,No,2026-05-10
106,"Cunanan, Samantha Anne Q.",samantha.cunanan86@gmail.com,No,2026-05-10
107,"Umali, Alyssa Marie H.",alyssa.umali80@gmail.com,No,2026-05-10
108,"Vergara, Christian Kyle J.",christian.vergara81@gmail.com,No,2026-05-10
109,"Enriquez, Hannah Nicole S.",hannah.enriquez88@gmail.com,No,2026-05-10
110,"Hilario, Mark Anthony V.",mark.hilario91@gmail.com,No,2026-05-10
111,"Guinto, Patricia Mae U.",patricia.guinto90@gmail.com,No,2026-05-10
112,"Isidro, Angela Claire W.",angela.isidro92@gmail.com,No,2026-05-10
113,"Malabanan, Bianca Joy AA.",bianca.malabanan96@gmail.com,No,2026-05-10
114,"Faustino, Joshua Vincent T.",joshua.faustino89@gmail.com,No,2026-05-10
115,"Nicolas, Joshua Ryan AB.",joshua.nicolas97@gmail.com,No,2026-05-10
116,"Ledesma, Cedric Paul Z.",cedric.ledesma95@gmail.com,No,2026-05-10
117,"Javier, Daniel Joseph X.",daniel.javier93@gmail.com,No,2026-05-10
118,"Ortega, Samantha Rose AC.",samantha.ortega98@gmail.com,No,2026-05-10
119,"Katigbak, Trisha Mae Y.",trisha.katigbak94@gmail.com,No,2026-05-10
120,"Pineda, Michael Vincent AD.",michael.pineda99@gmail.com,No,2026-05-10
121,"Quezada, Nicole Mae AE.",nicole.quezada100@gmail.com,No,2026-05-10
125,"Tagunicar, Ethan",ethan@gmail.com,No,2026-05-12
126,"Canabong, Cedric",ccnapi@gmail.com,No,2026-05-12
,
This report is system-generated by the Jazz Events Management System. For internal use only.
